id,datetimestamp,amount,convertedvalue,category,currency,name,description,accountid
426,2023-10-10,80.0,80.0,Other,EUR,"Stadt Stuttgart","Erstattung505511004831 DAUERAUFTRAG BI TTE LOESCHEN. F ",1
427,2023-11-10,-6.45,-6.45,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1030514448399/. Tier Mobility SE. Ihr Einkauf bei Tier Mobility SE ",1
428,2023-11-10,-9.9,-9.9,Food,EUR,"SZS GASTRONOMIA GMBH//TUEBINGEN/DE","2023-11-09T17:19 Debitk.0 2026-12 ",1
429,2023-01-11,-9.29,-9.29,Food,EUR,"KFC 680//STUTTGART/DE","2023-01-09T12:38 Debitk.0 2026-12 ",1
430,2023-01-11,40.0,40.0,Other,EUR,"Stadt Stuttgart","Erstattung505511004831 BEGLICHEN DOPPE LEINZAHLUNG ",1
431,2024-03-11,-3.84,-3.84,Mobility,EUR,"PayPal (Europe) S.a r.l. et Cie. S.C.A.","1032993427813 PP.5524.PP . Voi Technology Germany GmbH. Ihr Einkauf bei Voi Technology Germany GmbH ",1
432,2024-03-11,-11.24,-11.24,Food,EUR,"Frittenwerk Stuttgart GmbH + Co. KG//STUTTGART/DE","2024-03-08T12:12 Debitk.0 2026-12 ",1
433,2024-03-11,-20.28,-20.28,Food,EUR,"TEGUT SAGT DANKE//Stuttgart/DE","2024-03-08T18:14 Debitk.0 2026-12 ",1
434,2024-03-11,-37.06,-37.06,Food,EUR,"EDEKA SCHUSTER SAGT DANKE//STUTTGART/DE","2024-03-09T14:31 Debitk.0 2026-12 ",1
435,2024-03-11,-115.55,-115.55,Internet,EUR,"Telekom Deutschland GmbH                                              Landgrabenweg 151 53227 Bonn DE","Festnetz Vertragskonto 5627123666 RG 7548012922/29.02.2024 ",1
436,2023-04-11,-8.98,-8.98,Entertainment,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1026243265563 PP.5524.PP . Hetzner Online GmbH. Ihr Einkauf bei Hetzner Online GmbH ",1
437,2023-04-11,-2.98,-2.98,Food,EUR,"Schoellkopf Backwaren GmbH//STUTTGART/DE","2023-04-08T16:15 Debitk.0 2026-12 ",1
438,2023-04-11,-8.99,-8.99,Entertainment,EUR,"AMAZON EU S.A R.L.. NIEDERLASSUNG DEUTSCHLAND","D01-1711774-3835833 AMZNPrime DE 3SO4Y49AJUCA41GE ",1
439,2023-04-11,-78.87,-78.87,Insurance,EUR,"Allianz Direct Vers.","DG200708827 ",1
440,2024-04-11,-114.8,-114.8,Other,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A                                   22-24 Boulevard Royal. 2449 Luxembourg","1033667395682/. Mister Spex SE. Ihr Einkauf bei Mister Spex SE ",1
441,2024-04-11,-5.36,-5.36,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A                                   22-24 Boulevard Royal. 2449 Luxembourg","1033668482676/PP.5524.PP/. Voi Technology Germany GmbH. Ihr Einkauf bei Voi Technology Germany GmbH ",1
442,2024-04-11,-4.41,-4.41,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A                                   22-24 Boulevard Royal. 2449 Luxembourg","1033678970587/PP.5524.PP/. Voi Technology Germany GmbH. Ihr Einkauf bei Voi Technology Germany GmbH ",1
443,2024-04-11,-3.68,-3.68,Food,EUR,"TEGUT SAGT DANKE//Stuttgart/DE","2024-04-10T13:22 Debitk.0 2026-12 ",1
444,2024-04-11,-2.45,-2.45,Food,EUR,"DM FIL.2218 H:65057//STUTTGART/DE","2024-04-10T13:23 Debitk.0 2026-12 ",1
445,2023-05-11,-111.37,-111.37,Internet,EUR,"Telekom Deutschland GmbH                                              Landgrabenweg 151 53227 Bonn DE","Festnetz Vertragskonto 5627123666 RG 7381390643/02.05.2023 ",1
446,2023-07-11,-22.97,-22.97,Shopping,EUR,"IKEA Deutschland Gmb","080716050111789261200002240 ELV65446311 08.07 16.05 ME0 ",1
447,2023-07-11,-2.58,-2.58,Mobility,EUR,"PayPal (Europe) S.a r.l. et Cie. S.C.A.","1028048923441 . Tier Mobility SE. Ihr Einkauf bei Tier Mobility SE ",1
448,2023-07-11,-1.89,-1.89,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1028050271947 . Tier Mobility SE. Ihr Einkauf bei Tier Mobility SE ",1
449,2023-07-11,-1.89,-1.89,Mobility,EUR,"PayPal (Europe) S.a r.l. et Cie. S.C.A.","1028050564582 . Tier Mobility SE. Ihr Einkauf bei Tier Mobility SE ",1
450,2023-07-11,-33.99,-33.99,Food,EUR,"PayPal (Europe) S.a r.l. et Cie. S.C.A.","1028074427627 PP.5524.PP . Takeaway.com Payments B.V.. Ihr Einkauf bei Takeaway.com Payments B.V. ",1
451,2023-07-11,-65.45,-65.45,Other,EUR,Kleintierklinik//Stuttgart/DE,"2023-07-10T10:38 Debitk.0 2026-12 ",1
452,2023-07-11,-105.26,-105.26,Food,EUR,"EDEKA SCHUSTER SAGT DANKE//STUTTGART/DE","2023-07-10T14:20 Debitk.0 2026-12 ",1
453,2023-07-11,-5.77,-5.77,Food,EUR,"REWE SAGT DANKE. 45655613//Waiblingen/DE","2023-07-10T15:59 Debitk.0 2026-12 ",1
454,2023-07-11,-29.99,-29.99,Shopping,EUR,"AMAZON PAYMENTS EUROPE S.C.A.","305-9740089-3529933 AMZN Mktp DE PC38NNSTK9DZFMGJ ",1
455,2023-07-11,-111.37,-111.37,Internet,EUR,"Telekom Deutschland GmbH                                              Landgrabenweg 151 53227 Bonn DE","Festnetz Vertragskonto 5627123666 RG 7414778458/30.06.2023 ",1
456,2023-08-11,-3.01,-3.01,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1028710671894 . Bolt Operations OU. Ihr Einkauf bei Bolt Operations OU ",1
457,2023-08-11,100.0,100.0,Other,EUR,"TransferWise                                                          Laemmleshalde 74","ROCHE JOSHUA AARON ",1
458,2023-09-11,-29.49,-29.49,Shopping,EUR,"AMAZON PAYMENTS EUROPE S.C.A.","305-4701144-5813900 AMZN Mktp DE 4RGCQQ0DU32ZX26A ",1
459,2023-09-11,-26.99,-26.99,Shopping,EUR,"AMAZON EU S.A R.L.. NIEDERLASSUNG DEUTSCHLAND","305-6229335-9582725 Amazon.de YT01AXVUQLK49UUW ",1
460,2023-09-11,232.99,232.99,Other,EUR,"TransferWise                                                          6th Floor. The Tea Building. 56 Shoreditch High Street","791223276Refund AWV-MELDEPFLICHT BEACHTEN HOTLINE BUNDESBANK (0800) 1234-111 ",1
461,2023-09-11,-78.87,-78.87,Insurance,EUR,"Allianz Direct Vers.","DG200708827 ",1
462,2023-09-11,-112.62,-112.62,Internet,EUR,"Telekom Deutschland GmbH                                              Landgrabenweg 151 53227 Bonn DE","Festnetz Vertragskonto 5627123666 RG 7448182168/31.08.2023 ",1
463,2023-10-11,-115.55,-115.55,Internet,EUR,"Telekom Deutschland GmbH                                              Landgrabenweg 151 53227 Bonn DE","Festnetz Vertragskonto 5627123666 RG 7464639131/29.09.2023 ",1
464,2023-12-11,-5.45,-5.45,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1031147063801/. Tier Mobility SE. Ihr Einkauf bei Tier Mobility SE ",1
465,2023-12-11,-8.9,-8.9,Food,EUR,"SZS GASTRONOMIA GMBH//TUEBINGEN/DE","2023-12-06T12:24 Debitk.0 2026-12 ",1
466,2023-12-11,-12.1,-12.1,Food,EUR,"Frittenwerk Stuttgart GmbH + Co. KG//STUTTGART/DE","2023-12-08T12:15 Debitk.0 2026-12 ",1
467,2023-12-11,-12.8,-12.8,Food,EUR,"GRAU GMBH BAD CANNSTATT//Stuttgart-Bad Cannstadt/DE","2023-12-09T15:55 Debitk.0 2026-12 ",1
468,2023-12-11,-16.74,-16.74,Food,EUR,"NETTO MARKEN-DISCOU//STUTTGART/DE","2023-12-09T17:07 Debitk.0 2026-12 ",1
469,2023-12-11,-100.0,-100.0,Food,EUR,MILANEO//BW-Bank/DE,"2023-12-11T12:21 Debitk.0 2026-12 ",1
470,2023-01-12,-43.58,-43.58,Mobility,EUR,"ARAL Stuttgart Pragstra-e 138 A//Stuttgart/DE","2023-01-11T13:09 Debitk.0 2026-12 ",1
471,2023-01-12,-10.98,-10.98,Shopping,EUR,"TOOM BM SAGT DANKE 13563543//STUTTGART BAD CAN/DE","2023-01-11T13:32 Debitk.0 2026-12 ",1
472,2024-02-12,-70.26,-70.26,Food,EUR,"EDEKA SCHUSTER SAGT DANKE//STUTTGART/DE","2024-02-09T14:02 Debitk.0 2026-12 ",1
473,2024-02-12,-373.59,-373.59,"Child Support",EUR,"Wise Europe SA","P40671595 DATUM 12.02.2024. 19.43 UHR ",1
474,2024-03-12,-4.95,-4.95,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1033012141335/. Tier Mobility SE. Ihr Einkauf bei Tier Mobility SE ",1
475,2024-03-12,-2.51,-2.51,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1033028196006/PP.5524.PP/. Voi Technology Germany GmbH. Ihr Einkauf bei Voi Technology Germany GmbH ",1
476,2024-03-12,-2.51,-2.51,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1033028564534/PP.5524.PP/. Voi Technology Germany GmbH. Ihr Einkauf bei Voi Technology Germany GmbH ",1
477,2024-03-12,-5.36,-5.36,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1033031460925/PP.5524.PP/. Voi Technology Germany GmbH. Ihr Einkauf bei Voi Technology Germany GmbH ",1
478,2024-03-12,-3.34,-3.34,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1033037121350/. Bolt Operations OU. Ihr Einkauf bei Bolt Operations OU ",1
479,2024-03-12,-4.2,-4.2,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1033064064040/. Tier Mobility SE. Ihr Einkauf bei Tier Mobility SE ",1
480,2023-04-12,-7.98,-7.98,Food,EUR,"01707 MCDONALDS//STUTTGART/DE","2023-04-11T13:11 Debitk.0 2026-12 ",1
481,2023-04-12,-26.49,-26.49,Shopping,EUR,"AMAZON PAYMENTS EUROPE S.C.A.","305-6444059-4328302 AMZN Mktp DE 4FHA3DSZF17BOJAK ",1
482,2023-04-12,-111.37,-111.37,Internet,EUR,"Telekom Deutschland GmbH                                              Landgrabenweg 151 53227 Bonn DE","Festnetz Vertragskonto 5627123666 RG 7365025684/30.03.2023 ",1
483,2024-04-12,-2.95,-2.95,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A                                   22-24 Boulevard Royal. 2449 Luxembourg","1033682664272/. Tier Mobility SE. Ihr Einkauf bei Tier Mobility SE ",1
484,2024-04-12,-2.32,-2.32,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A                                   22-24 Boulevard Royal. 2449 Luxembourg","1033682791795/PP.5524.PP/. Voi Technology Germany GmbH. Ihr Einkauf bei Voi Technology Germany GmbH ",1
485,2024-04-12,-3.84,-3.84,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A                                   22-24 Boulevard Royal. 2449 Luxembourg","1033687465914/PP.5524.PP/. Voi Technology Germany GmbH. Ihr Einkauf bei Voi Technology Germany GmbH ",1
486,2024-04-12,-7.03,-7.03,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A                                   22-24 Boulevard Royal. 2449 Luxembourg","1033688234168/PP.5524.PP/. Voi Technology Germany GmbH. Ihr Einkauf bei Voi Technology Germany GmbH ",1
487,2024-04-12,-3.84,-3.84,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A                                   22-24 Boulevard Royal. 2449 Luxembourg","1033700530398/PP.5524.PP/. Voi Technology Germany GmbH. Ihr Einkauf bei Voi Technology Germany GmbH ",1
488,2024-04-12,-9.14,-9.14,Food,EUR,"63720306 Burger King//Stuttgart/DE","2024-04-11T17:42 Debitk.0 2026-12 ",1
489,2023-06-12,-3.5,-3.5,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1027504938932 . Tier Mobility SE. Ihr Einkauf bei Tier Mobility SE ",1
490,2023-06-12,-6.69,-6.69,Food,EUR,"SUBWAY MILANEO//Stuttgart/DE","2023-06-09T12:35 Debitk.0 2026-12 ",1
491,2023-06-12,-36.19,-36.19,Food,EUR,"TEGUT SAGT DANKE//Stuttgart/DE","2023-06-09T17:10 Debitk.0 2026-12 ",1
492,2023-06-12,-78.87,-78.87,Insurance,EUR,"Allianz Direct Vers.","DG200708827 ",1
493,2023-06-12,-111.37,-111.37,Internet,EUR,"Telekom Deutschland GmbH                                              Landgrabenweg 151 53227 Bonn DE","Festnetz Vertragskonto 5627123666 RG 7398230238/01.06.2023 ",1
494,2023-06-12,-92.0,-92.0,Other,EUR,"Notare Ohnleiter Hilebrand Dr. Suenner","Rechnungs-Nr: R202314656H DATUM 10.06.2023. 18.52 UHR ",1
495,2023-07-12,-6.91,-6.91,Shopping,EUR,"AMAZON EU S.A R.L.. NIEDERLASSUNG DEUTSCHLAND","305-4016813-9000322 Amazon.de 1GIJT8OGWC82KAUW ",1
496,2023-09-12,-2.62,-2.62,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1029299508188 . Bolt Operations OU. Ihr Einkauf bei Bolt Operations OU ",1
497,2023-09-12,-4.09,-4.09,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1029303066026 . Bolt Operations OU. Ihr Einkauf bei Bolt Operations OU ",1
498,2023-09-12,-29.4,-29.4,Food,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1029303365806 PP.5524.PP . Takeaway.com Payments B.V.. Ihr Einkauf bei Takeaway.com Payments B.V. ",1
499,2023-09-12,-2.94,-2.94,Food,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1029303376211 PP.5524.PP . Takeaway.com Payments B.V.. Ihr Einkauf bei Takeaway.com Payments B.V. ",1
500,2023-09-12,-5.49,-5.49,Food,EUR,"SUBWAY MILANEO//Stuttgart/DE","2023-09-08T12:18 Debitk.0 2026-12 ",1
501,2023-10-12,-17.74,-17.74,Food,EUR,"TEGUT SAGT DANKE//Stuttgart/DE","2023-10-11T18:05 Debitk.0 2026-12 ",1
502,2023-12-12,-2.97,-2.97,Mobility,EUR,"PayPal (Europe) S.a r.l. et Cie. S.C.A.","1031174280661 . Bolt Operations OU. Ihr Einkauf bei Bolt Operations OU ",1
503,2023-12-12,-5.7,-5.7,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1031178039391/. Tier Mobility SE. Ihr Einkauf bei Tier Mobility SE ",1
504,2023-12-12,-5.0,-5.0,Shopping,EUR,"Gesundhaus Apotheke im Milaneo//Stuttgart/DE","2023-12-11T11:06 Debitk.0 2026-12 ",1
505,2023-12-12,-30.42,-30.42,Food,EUR,"TEGUT SAGT DANKE//Stuttgart/DE","2023-12-11T17:42 Debitk.0 2026-12 ",1
506,2023-02-13,-11.38,-11.38,Shopping,EUR,"AMAZON EU S.A R.L.. NIEDERLASSUNG DEUTSCHLAND","305-2695751-2584360 Amazon.de 4Q6DKZWHR4WTLX0Z ",1
507,2023-02-13,-16.99,-16.99,Shopping,EUR,"AMAZON PAYMENTS EUROPE S.C.A.","305-4438324-3818767 AMZN Mktp DE UIH2C3VT4E0TXOE0 ",1
508,2024-02-13,-17.43,-17.43,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1032430585880/PP.5524.PP/. MILES Mobility GmbH. Ihr Einkauf bei MILES Mobility GmbH ",1
509,2024-02-13,-31.0,-31.0,Food,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1032433815901/PP.5524.PP/. Takeaway.com Payments B.V.. Ihr Einkauf bei Takeaway.com Payments B.V. ",1
510,2023-03-13,-10.78,-10.78,Food,EUR,"01707 MCDONALDS//STUTTGART/DE","2023-03-10T13:05 Debitk.0 2026-12 ",1
511,2023-03-13,-44.64,-44.64,Food,EUR,"NETTO MARKEN-DISCOU//STUTTGART/DE","2023-03-11T16:37 Debitk.0 2026-12 ",1
512,2023-03-13,-34.28,-34.28,Food,EUR,"NETTO MARKEN-DISCOU//STUTTGART/DE","2023-03-11T16:38 Debitk.0 2026-12 ",1
513,2023-03-13,9.97,9.97,Shopping,EUR,"AMAZON PAYMENTS EUROPE S.C.A.                                         DE","304-6142344-5224335 AMZ gloryfeel 2SVFM2KC1IBUGYFZ ",1
514,2023-03-13,8.95,8.95,Shopping,EUR,"AMAZON PAYMENTS EUROPE S.C.A.                                         DE","304-6142344-5224335 AMZ The Basic Ingredients Ltd 3SYDFZLKF7TLRZRP ",1
515,2024-03-13,-14.0,-14.0,Food,EUR,"RUFFS BURGER STUTTGART//Stuttgart/DE","2024-03-12T13:04 Debitk.0 2026-12 ",1
516,2023-04-13,-5.9,-5.9,Food,EUR,"MARCHE AIRPORT HAMBURG//Hamburg/DE","2023-04-12T16:42 Debitk.0 2026-12 ",1
517,2024-05-13,-1.9,-1.9,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A                                   22-24 Boulevard Royal. 2449 Luxembourg","1034305544306/. Bolt Operations OU. Ihr Einkauf bei Bolt Operations OU ",1
518,2024-05-13,-2.51,-2.51,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A                                   22-24 Boulevard Royal. 2449 Luxembourg","1034305661446/PP.5524.PP/. Voi Technology Germany GmbH. Ihr Einkauf bei Voi Technology Germany GmbH ",1
519,2024-05-13,-13.48,-13.48,Food,EUR,"01707 MCDONALDS//STUTTGART/DE","2024-05-10T12:40 Debitk.0 2026-12 ",1
520,2024-05-13,-23.49,-23.49,Food,EUR,"TEGUT SAGT DANKE//Stuttgart/DE","2024-05-10T17:58 Debitk.0 2026-12 ",1
521,2024-05-13,-67.33,-67.33,Food,EUR,"EDEKA SCHUSTER SAGT DANKE//STUTTGART/DE","2024-05-11T16:21 Debitk.0 2026-12 ",1
522,2024-05-13,-30.92,-30.92,Food,EUR,"REWE SAGT DANKE. 45655613//Waiblingen/DE","2024-05-11T16:48 Debitk.0 2026-12 ",1
523,2024-05-13,-10.42,-10.42,Shopping,EUR,"AMAZON PAYMENTS EUROPE S.C.A.","305-5672451-9604358 AMZN Mktp DE 3HAKY7VSPQBXWYVN ",1
524,2024-05-13,-115.55,-115.55,Internet,EUR,"Telekom Deutschland GmbH                                              Landgrabenweg 151","Festnetz Vertragskonto 5627123666 RG 7581161370/30.04.2024 ",1
525,2023-06-13,-2.81,-2.81,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1027511466944 . Tier Mobility SE. Ihr Einkauf bei Tier Mobility SE ",1
526,2023-07-13,-2.0,-2.0,Mobility,EUR,"Parken Stuttgart 66E9210002","Parken 10-07-2023 10:17 1983 PRM 66E9210002 ",1
527,2023-09-13,-3.47,-3.47,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1029354558740 . Voi Technology Germany GmbH. Ihr Einkauf bei Voi Technology Germany GmbH ",1
528,2023-09-13,-22.22,-22.22,Food,EUR,"TEGUT SAGT DANKE//Stuttgart/DE","2023-09-12T18:41 Debitk.0 2026-12 ",1
529,2023-09-13,-46.55,-46.55,Mobility,EUR,"DB VERTRIEB GMBH","AVVS000015328061 9/2023. ROCHE JOSHUA. 070498880-001 NR 101929739 BAHN.DE/ABOPORTAL ",1
530,2023-11-13,-9.7,-9.7,Food,EUR,"Frittenwerk Stuttgart GmbH + Co. KG//STUTTGART/DE","2023-11-10T12:19 Debitk.0 2026-12 ",1
531,2023-12-13,-4.23,-4.23,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1031235619778/PP.5524.PP/. Voi Technology Germany GmbH. Ihr Einkauf bei Voi Technology Germany GmbH ",1
532,2024-02-14,-5.79,-5.79,Food,EUR,"SUBWAY MILANEO//Stuttgart/DE","2024-02-13T12:58 Debitk.0 2026-12 ",1
533,2023-03-14,-2.08,-2.08,Mobility,EUR,"PayPal (Europe) S.a r.l. et Cie. S.C.A.","1025760159009 . Tier Mobility SE. Ihr Einkauf bei Tier Mobility SE ",1
534,2023-03-14,-6.6,-6.6,Food,EUR,"BackWerk Stuttgart//Stuttgart/DE","2023-03-13T17:42 Debitk.0 2026-12 ",1
535,2024-03-14,-3.46,-3.46,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1033092368359/PP.5524.PP/. Voi Technology Germany GmbH. Ihr Einkauf bei Voi Technology Germany GmbH ",1
536,2024-03-14,-8.58,-8.58,Food,EUR,"01707 MCDONALDS//STUTTGART/DE","2024-03-13T12:17 Debitk.0 2026-12 ",1
537,2023-04-14,-229.0,-229.0,Other,EUR,"volkshochschule stuttgart e.V.","Gebuehr Kurs 231-60708 RechNr: 3312461771 Beginn: 24.04.2023 ",1
538,2023-04-14,22.78,22.78,Other,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A                                   22-24 Boulevard Royal. 2449 Luxembourg","PP.5524.PP ABBUCHUNG VOM PAYPAL-KONTO AWV-MELDEPFLICHT BEACHTEN HOTLINE BUNDESBANK (0800) 1234-111 ",1
